,nome,team,img,titolare,entrato,squalificato,infortunato,inutilizzato,presenze,minuti_giocati,sostituito,cartellini_gialli,cartellini_rossi,%_bonus_match,%_malus_match,%_match_voto,%_sostituzione
0,Romagnoli-S,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/ROMAGNOLI-S.png,15,2,0,3,12,17,1318,2,3,0,11.76,17.65,50.0,13.33
0,Rrahmani,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/RRAHMANI.png,28,0,1,1,2,28,2478,1,5,0,10.71,17.86,87.5,3.57
0,Ruan,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,0,7,0,0,25,7,123,0,0,0,0.0,0.0,9.38,0.0
0,Rugani,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/RUGANI.png,7,2,0,2,21,9,690,0,1,0,0.0,11.11,28.12,0.0
0,Ruggeri,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/RUGGERI.png,5,3,0,23,1,8,409,3,1,0,0.0,12.5,21.88,60.0
0,Sala,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/SALA.png,13,5,0,8,6,18,891,13,3,0,5.56,16.67,46.88,100.0
0,Scalvini,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/SCALVINI.png,5,7,0,0,20,12,473,3,0,0,0.0,0.0,28.12,60.0
0,Singo,Torino,https://content.fantacalcio.it/web/campioncini/card2021/SINGO.png,28,2,1,0,1,30,2275,14,4,1,23.33,16.67,93.75,50.0
0,Skriniar,Inter,https://content.fantacalcio.it/web/campioncini/card2021/SKRINIAR.png,28,0,0,0,4,28,2520,0,3,0,10.71,10.71,87.5,0.0
0,Smalling,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SMALLING.png,19,4,0,9,0,23,1727,2,0,0,13.04,4.35,65.62,10.53
0,Soppy,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/SOPPY.png,6,16,0,0,10,22,610,6,4,0,0.0,18.18,43.75,100.0
0,Soumaoro,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/SOUMAORO.png,21,2,2,1,6,23,1823,1,6,1,0.0,30.43,68.75,4.76
0,Spinazzola,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SPINAZZOLA.png,5,0,0,32,0,0,388,4,0,0,0.0,0.0,0.0,80.0
0,Stojanovic,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/STOJANOVIC.png,27,1,1,0,3,28,2313,7,6,0,7.14,21.43,87.5,25.93
0,Strandberg,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/STRANDBERG.png,11,0,1,15,5,11,934,0,0,1,0.0,18.18,34.38,0.0
0,Stryger-Larsen,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/STRYGER-LARSEN.png,8,3,0,0,21,11,686,6,0,0,9.09,9.09,31.25,75.0
0,Sutalo,Verona,https://content.fantacalcio.it/web/campioncini/card2021/SUTALO.png,5,12,0,0,15,17,702,2,0,0,0.0,0.0,37.5,40.0
0,Svoboda,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/SVOBODA.png,9,4,1,1,17,13,864,1,1,1,0.0,15.38,40.62,11.11
0,Terzic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/TERZIC.png,1,10,0,0,21,11,220,0,1,0,9.09,9.09,15.62,0.0
0,Theate,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/THEATE.png,23,2,1,0,6,25,2070,4,5,0,8.0,20.0,78.12,17.39
0,Toljan,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/TOLJAN.png,14,5,0,6,7,19,1378,2,2,0,5.26,10.53,56.25,14.29
0,Toloi,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/TOLOI.png,16,3,2,8,3,19,1396,4,6,0,10.53,31.58,56.25,25.0
0,Tomori,Milan,https://content.fantacalcio.it/web/campioncini/card2021/TOMORI.png,24,1,0,3,4,25,2188,1,3,0,0.0,12.0,78.12,4.17
