5,6ª,0,0.0,0.0,0,Berisha
6,7ª,0,0.0,0.0,0,Berisha
7,8ª,0,0.0,0.0,0,Berisha
8,9ª,0,0.0,0.0,0,Berisha
9,10ª,0,0.0,0.0,0,Berisha
10,11ª,0,0.0,0.0,0,Berisha
11,12ª,0,0.0,0.0,0,Berisha
12,13ª,0,0.0,0.0,0,Berisha
13,14ª,0,0.0,0.0,0,Berisha
14,15ª,0,0.0,0.0,0,Berisha
15,16ª,0,0.0,0.0,0,Berisha
16,17ª,0,0.0,0.0,0,Berisha
17,18ª,0,0.0,0.0,0,Berisha
18,19ª,0,0.0,0.0,0,Berisha
19,20ª,0,0.0,0.0,0,Berisha
20,21ª,0,0.0,0.0,0,Berisha
21,22ª,0,0.0,0.0,0,Berisha
22,23ª,0,0.0,0.0,0,Berisha
23,24ª,0,0.0,0.0,0,Berisha
24,25ª,0,0.0,0.0,0,Berisha
25,26ª,0,0.0,0.0,0,Berisha
26,27ª,0,0.0,0.0,0,Berisha
27,28ª,0,0.0,6.0,6,Berisha
28,29ª,0,-1.0,7.0,6,Berisha
29,30ª,0,-1.0,5.0,4,Berisha
30,31ª,0,-0.5,6.5,6,Berisha
31,32ª,0,0.0,6.0,6,Berisha
0,1ª,0,0,0,0,Bertinato
1,2ª,0,0,0,0,Bertinato
2,3ª,0,0,0,0,Bertinato
3,4ª,0,0,0,0,Bertinato
4,5ª,0,0,0,0,Bertinato
5,6ª,0,0,0,0,Bertinato
6,7ª,0,0,0,0,Bertinato
7,8ª,0,0,0,0,Bertinato
8,9ª,0,0,0,0,Bertinato
9,10ª,0,0,0,0,Bertinato
10,11ª,0,0,0,0,Bertinato
11,12ª,0,0,0,0,Bertinato
12,13ª,0,0,0,0,Bertinato
13,14ª,0,0,0,0,Bertinato
14,15ª,0,0,0,0,Bertinato
15,16ª,0,0,0,0,Bertinato
16,17ª,0,0,0,0,Bertinato
17,18ª,0,0,0,0,Bertinato
18,19ª,0,0,0,0,Bertinato
19,20ª,0,0,0,0,Bertinato
20,21ª,0,0,0,0,Bertinato
21,22ª,0,0,0,0,Bertinato
22,23ª,0,0,0,0,Bertinato
23,24ª,0,0,0,0,Bertinato
24,25ª,0,0,0,0,Bertinato
25,26ª,0,0,0,0,Bertinato
26,27ª,0,0,0,0,Bertinato
27,28ª,0,0,0,0,Bertinato
28,29ª,0,0,0,0,Bertinato
29,30ª,0,0,0,0,Bertinato
30,31ª,0,0,0,0,Bertinato
31,32ª,0,0,0,0,Bertinato
0,1ª,0,0,0,0,Boer
1,2ª,0,0,0,0,Boer
2,3ª,0,0,0,0,Boer
3,4ª,0,0,0,0,Boer
4,5ª,0,0,0,0,Boer
5,6ª,0,0,0,0,Boer
6,7ª,0,0,0,0,Boer
7,8ª,0,0,0,0,Boer
8,9ª,0,0,0,0,Boer
9,10ª,0,0,0,0,Boer
10,11ª,0,0,0,0,Boer
11,12ª,0,0,0,0,Boer
12,13ª,0,0,0,0,Boer
13,14ª,0,0,0,0,Boer
14,15ª,0,0,0,0,Boer
15,16ª,0,0,0,0,Boer
16,17ª,0,0,0,0,Boer
17,18ª,0,0,0,0,Boer
18,19ª,0,0,0,0,Boer
19,20ª,0,0,0,0,Boer
20,21ª,0,0,0,0,Boer
21,22ª,0,0,0,0,Boer
22,23ª,0,0,0,0,Boer
23,24ª,0,0,0,0,Boer
24,25ª,0,0,0,0,Boer
25,26ª,0,0,0,0,Boer
26,27ª,0,0,0,0,Boer
27,28ª,0,0,0,0,Boer
28,29ª,0,0,0,0,Boer
29,30ª,0,0,0,0,Boer
30,31ª,0,0,0,0,Boer
31,32ª,0,0,0,0,Boer
0,1ª,0,-2.0,6.0,4.0,Consigli
1,2ª,0,0.0,6.0,6.0,Consigli
2,3ª,0,-2.0,7.0,5.0,Consigli
3,4ª,0,-1.0,6.5,5.5,Consigli
4,5ª,0,-2.0,6.5,4.5,Consigli
5,6ª,0,0.0,6.5,6.5,Consigli
6,7ª,0,-2.5,5.5,3.0,Consigli
7,8ª,0,-2.0,6.0,4.0,Consigli
8,9ª,0,-1.0,6.0,5.0,Consigli
9,10ª,0,-1.0,6.5,5.5,Consigli
10,11ª,0,-2.0,6.0,4.0,Consigli
11,12ª,0,-3.5,6.0,2.5,Consigli
12,13ª,0,-2.0,6.5,4.5,Consigli
13,14ª,0,-1.0,6.5,5.5,Consigli
14,15ª,0,-2.0,6.5,4.5,Consigli
15,16ª,0,-2.0,7.0,5.0,Consigli
16,17ª,0,-1.0,6.0,5.0,Consigli
17,18ª,0,-2.0,7.0,5.0,Consigli
18,19ª,0,0.0,0.0,0.0,Consigli
19,20ª,0,-1.0,6.0,5.0,Consigli
20,21ª,0,-1.0,5.5,4.5,Consigli
21,22ª,0,-4.0,6.0,2.0,Consigli
22,23ª,0,-1.0,6.5,5.5,Consigli
23,24ª,0,-4.0,5.0,1.0,Consigli
24,25ª,0,-2.0,6.5,4.5,Consigli
25,26ª,0,0.0,7.5,7.5,Consigli
26,27ª,0,-1.0,7.0,6.0,Consigli
27,28ª,3,-1.0,7.0,9.0,Consigli
28,29ª,0,-2.0,5.0,3.0,Consigli
29,30ª,0,-1.0,6.0,5.0,Consigli
30,31ª,0,-2.0,6.5,4.5,Consigli
31,32ª,0,-1.0,7.0,6.0,Consigli
0,1ª,0,0,0,0,Cordaz
1,2ª,0,0,0,0,Cordaz
2,3ª,0,0,0,0,Cordaz
3,4ª,0,0,0,0,Cordaz
4,5ª,0,0,0,0,Cordaz
5,6ª,0,0,0,0,Cordaz
6,7ª,0,0,0,0,Cordaz
7,8ª,0,0,0,0,Cordaz
8,9ª,0,0,0,0,Cordaz
9,10ª,0,0,0,0,Cordaz
10,11ª,0,0,0,0,Cordaz
11,12ª,0,0,0,0,Cordaz
12,13ª,0,0,0,0,Cordaz
13,14ª,0,0,0,0,Cordaz
14,15ª,0,0,0,0,Cordaz
15,16ª,0,0,0,0,Cordaz
16,17ª,0,0,0,0,Cordaz
17,18ª,0,0,0,0,Cordaz
18,19ª,0,0,0,0,Cordaz
19,20ª,0,0,0,0,Cordaz
20,21ª,0,0,0,0,Cordaz
21,22ª,0,0,0,0,Cordaz
22,23ª,0,0,0,0,Cordaz
23,24ª,0,0,0,0,Cordaz
24,25ª,0,0,0,0,Cordaz
25,26ª,0,0,0,0,Cordaz
26,27ª,0,0,0,0,Cordaz
27,28ª,0,0,0,0,Cordaz
28,29ª,0,0,0,0,Cordaz
